Date,Open,High,Low,Close,Adj Close,Volume,Revenue,Net Income,EPS,Operating Income,EBITDA ,Current Ratio
2019/7/29,52.115002,52.66,52.110001,52.419998,50.531902,86693600,53809,10044,0.55,11544,14477,1.51
2019/7/30,52.189999,52.540001,51.827499,52.195,50.315006,135742800,53809,10044,0.55,11544,14477,1.51
2019/7/31,54.105,55.342499,52.825001,53.259998,51.34164,277125600,53809,10044,0.55,11544,14477,1.51
2019/8/1,53.474998,54.5075,51.685001,52.107498,50.230659,216071600,53809,10044,0.55,11544,14477,1.51
2019/8/2,51.3825,51.607498,50.407501,51.005001,49.167881,163448400,53809,10044,0.55,11544,14477,1.51
2019/8/5,49.497501,49.662498,48.145,48.334999,46.59404,209572000,53809,10044,0.55,11544,14477,1.51
2019/8/6,49.077499,49.517502,48.509998,49.25,47.476086,143299200,53809,10044,0.55,11544,14477,1.51
2019/8/7,48.852501,49.889999,48.455002,49.759998,47.967712,133457600,53809,10044,0.55,11544,14477,1.51
2019/8/8,50.049999,50.8825,49.8475,50.857498,49.025681,108038000,53809,10044,0.55,11544,14477,1.51
2019/8/9,50.325001,50.689999,49.822498,50.247501,48.621689,98478800,53809,10044,0.55,11544,14477,1.51
2019/8/12,49.904999,50.512501,49.787498,50.119999,48.498322,89927600,53809,10044,0.55,11544,14477,1.51
2019/8/13,50.255001,53.035,50.119999,52.2425,50.552139,188874000,53809,10044,0.55,11544,14477,1.51
2019/8/14,50.790001,51.610001,50.647499,50.6875,49.047474,146189600,53809,10044,0.55,11544,14477,1.51
2019/8/15,50.865002,51.285,49.9175,50.435001,48.803127,108909600,53809,10044,0.55,11544,14477,1.51
2019/8/16,51.07,51.790001,50.959999,51.625,49.954613,110481600,53809,10044,0.55,11544,14477,1.51
2019/8/19,52.654999,53.182499,52.5075,52.587502,50.885983,97654400,53809,10044,0.55,11544,14477,1.51
2019/8/20,52.720001,53.337502,52.580002,52.59,50.88839,107537200,53809,10044,0.55,11544,14477,1.51
2019/8/21,53.247501,53.412498,52.900002,53.16,51.439957,86141600,53809,10044,0.55,11544,14477,1.51
2019/8/22,53.297501,53.610001,52.6875,53.115002,51.396412,89014800,53809,10044,0.55,11544,14477,1.51
2019/8/23,52.357498,53.012501,50.25,50.66,49.020844,187272000,53809,10044,0.55,11544,14477,1.51
2019/8/26,51.465,51.797501,51.264999,51.622501,49.952202,104174400,53809,10044,0.55,11544,14477,1.51
2019/8/27,51.965,52.137501,50.8825,51.040001,49.388554,103493200,53809,10044,0.55,11544,14477,1.51
2019/8/28,51.025002,51.43,50.830002,51.3825,49.719975,63755200,53809,10044,0.55,11544,14477,1.51
2019/8/29,52.125,52.330002,51.665001,52.252499,50.561825,83962000,53809,10044,0.55,11544,14477,1.51
2019/8/30,52.540001,52.612499,51.799999,52.185001,50.496498,84573600,53809,10044,0.55,11544,14477,1.51
2019/9/3,51.607498,51.744999,51.055,51.424999,49.761093,80092000,53809,10044,0.55,11544,14477,1.51
2019/9/4,52.0975,52.369999,51.830002,52.297501,50.605362,76752400,53809,10044,0.55,11544,14477,1.51
2019/9/5,53,53.4925,52.877499,53.32,51.594784,95654800,53809,10044,0.55,11544,14477,1.51
2019/9/6,53.512501,53.605,53.127499,53.314999,51.589943,77449200,53809,10044,0.55,11544,14477,1.51
2019/9/9,53.709999,54.110001,52.767502,53.5425,51.810081,109237600,53809,10044,0.55,11544,14477,1.51
2019/9/10,53.465,54.195,52.927502,54.174999,52.422112,127111600,53809,10044,0.55,11544,14477,1.51
2019/9/11,54.517502,55.927502,54.432499,55.897499,54.088882,177158400,53809,10044,0.55,11544,14477,1.51
2019/9/12,56.200001,56.605,55.715,55.772499,53.967926,128906800,53809,10044,0.55,11544,14477,1.51
2019/9/13,55,55.197498,54.255001,54.6875,52.91803,159053200,53809,10044,0.55,11544,14477,1.51
2019/9/16,54.432499,55.032501,54.389999,54.974998,53.196228,84632400,53809,10044,0.55,11544,14477,1.51
2019/9/17,54.990002,55.205002,54.779999,55.174999,53.389751,73274800,53809,10044,0.55,11544,14477,1.51
2019/9/18,55.264999,55.712502,54.860001,55.692501,53.890518,101360000,53809,10044,0.55,11544,14477,1.51
2019/9/19,55.502499,55.939999,55.092499,55.240002,53.452663,88242400,53809,10044,0.55,11544,14477,1.51
2019/9/20,55.345001,55.639999,54.3675,54.432499,52.67128,221652400,53809,10044,0.55,11544,14477,1.51
2019/9/23,54.737499,54.959999,54.412498,54.68,52.910778,76662000,53809,10044,0.55,11544,14477,1.51
2019/9/24,55.2575,55.622501,54.297501,54.419998,52.659184,124763200,53809,10044,0.55,11544,14477,1.51
2019/9/25,54.637501,55.375,54.285,55.2575,53.469585,87613600,53809,10044,0.55,11544,14477,1.51
2019/9/26,55,55.235001,54.7075,54.9725,53.193813,75334000,53809,10044,0.55,11544,14477,1.51
2019/9/27,55.134998,55.240002,54.32,54.705002,52.934963,101408000,53809,10044,0.55,11544,14477,1.51
2019/9/30,55.224998,56.145,55.197498,55.9925,54.180817,103909600,64040,13686,0.77,15625,18804,1.54
2019/10/1,56.267502,57.055,56.049999,56.147499,54.330791,139223200,64040,13686,0.77,15625,18804,1.54
