Date,Open,High,Low,Close,Adj Close,Volume,Revenue,Net Income,EPS,Operating Income,Current Ratio,EBITDA
2019/7/29,4.3695,4.38675,4.28175,4.3705,4.345415,248160000,2579,552,0.02,571,8.65,663
2019/7/30,4.32375,4.3985,4.30925,4.38625,4.361075,197772000,2579,552,0.02,571,8.65,663
2019/7/31,4.3545,4.3555,4.1755,4.218,4.193791,359416000,2579,552,0.02,571,8.65,663
2019/8/1,4.2285,4.3195,4.0705,4.123,4.099336,421212000,2579,552,0.02,571,8.65,663
2019/8/2,4.02975,4.0995,3.982,4.02975,4.006621,428348000,2579,552,0.02,571,8.65,663
2019/8/5,3.845,3.84625,3.7225,3.76975,3.748113,589156000,2579,552,0.02,571,8.65,663
2019/8/6,3.845,3.89075,3.76075,3.80875,3.78689,361272000,2579,552,0.02,571,8.65,663
2019/8/7,3.7475,3.85925,3.73,3.84725,3.825168,372560000,2579,552,0.02,571,8.65,663
2019/8/8,3.90525,3.95775,3.8475,3.9565,3.933792,309300000,2579,552,0.02,571,8.65,663
2019/8/9,3.91525,3.91875,3.80375,3.8545,3.832377,341816000,2579,552,0.02,571,8.65,663
2019/8/12,3.802,3.8545,3.76425,3.78625,3.764518,279200000,2579,552,0.02,571,8.65,663
2019/8/13,3.78475,3.9475,3.7455,3.90125,3.878858,351956000,2579,552,0.02,571,8.65,663
2019/8/14,3.8125,3.82375,3.70775,3.75175,3.730217,419880000,2579,552,0.02,571,8.65,663
2019/8/15,3.77075,3.79075,3.68475,3.71925,3.697903,477200000,2579,552,0.02,571,8.65,663
2019/8/16,3.98375,4.0385,3.922,3.989,3.966105,1007960000,2579,552,0.02,571,8.65,663
2019/8/19,4.103,4.2855,4.08675,4.2695,4.244995,815112000,2579,552,0.02,571,8.65,663
2019/8/20,4.264,4.2645,4.1755,4.19675,4.172662,463188000,2579,552,0.02,571,8.65,663
2019/8/21,4.26325,4.33625,4.2415,4.28075,4.25618,427244000,2579,552,0.02,571,8.65,663
2019/8/22,4.2905,4.33325,4.2475,4.287,4.262395,303488000,2579,552,0.02,571,8.65,663
2019/8/23,4.21,4.26475,4.041,4.061,4.037691,568056000,2579,552,0.02,571,8.65,663
2019/8/26,4.14025,4.1645,4.09775,4.13625,4.11251,318208000,2579,552,0.02,571,8.65,663
2019/8/27,4.17475,4.1775,4.0155,4.045,4.021785,290968000,2579,552,0.02,571,8.65,663
