Date,Open,High,Low,Close,Adj Close,Volume,Revenue,Net Income,EPS,Operating Income,EBITDA,Current Ratio
2019/7/29,15.139333,15.729333,15.068667,15.718,15.718,139099500,6350,-408,-0.15,-167,454,1.06
2019/7/30,15.526667,16.224001,15.478667,16.150667,16.150667,121635000,6350,-408,-0.15,-167,454,1.06
2019/7/31,16.200001,16.445333,15.776667,16.107332,16.107332,137673000,6350,-408,-0.15,-167,454,1.06
2019/8/1,16.176666,16.300667,15.451333,15.59,15.59,123892500,6350,-408,-0.15,-167,454,1.06
2019/8/2,15.423333,15.751333,15.282,15.622667,15.622667,92047500,6350,-408,-0.15,-167,454,1.06
2019/8/5,15.306667,15.424667,15.052,15.221333,15.221333,105424500,6350,-408,-0.15,-167,454,1.06
2019/8/6,15.458667,15.5,15.05,15.383333,15.383333,83463000,6350,-408,-0.15,-167,454,1.06
2019/8/7,15.1,15.571333,15.053333,15.561333,15.561333,71647500,6350,-408,-0.15,-167,454,1.06
2019/8/8,15.63,15.986667,15.51,15.886667,15.886667,79114500,6350,-408,-0.15,-167,454,1.06
2019/8/9,15.736667,15.930667,15.587333,15.667333,15.667333,58473000,6350,-408,-0.15,-167,454,1.06
2019/8/12,15.532667,15.718,15.25,15.267333,15.267333,69958500,6350,-408,-0.15,-167,454,1.06
2019/8/13,15.254,15.733333,15.17,15.666667,15.666667,72721500,6350,-408,-0.15,-167,454,1.06
2019/8/14,15.414,15.433333,14.446,14.641333,14.641333,143439000,6350,-408,-0.15,-167,454,1.06
2019/8/15,14.724,14.770667,14.103333,14.376,14.376,122394000,6350,-408,-0.15,-167,454,1.06
2019/8/16,14.444,14.816,14.401333,14.662667,14.662667,76477500,6350,-408,-0.15,-167,454,1.06
2019/8/19,14.947333,15.188667,14.78,15.122,15.122,79644000,6350,-408,-0.15,-167,454,1.06
2019/8/20,15.174667,15.272667,14.969333,15.057333,15.057333,61878000,6350,-408,-0.15,-167,454,1.06
2019/8/21,14.800667,14.881333,14.506667,14.722,14.722,116914500,6350,-408,-0.15,-167,454,1.06
2019/8/22,14.853333,15.026667,14.548,14.81,14.81,98385000,6350,-408,-0.15,-167,454,1.06
2019/8/23,14.664667,14.744667,14.066667,14.093333,14.093333,128079000,6350,-408,-0.15,-167,454,1.06
2019/8/26,14.24,14.334667,14.102667,14.333333,14.333333,75778500,6350,-408,-0.15,-167,454,1.06
2019/8/27,14.382667,14.586667,14.135333,14.272,14.272,81243000,6350,-408,-0.15,-167,454,1.06
2019/8/28,14.246,14.483333,14.154,14.372667,14.372667,48382500,6350,-408,-0.15,-167,454,1.06
2019/8/29,14.6,14.893333,14.533333,14.780667,14.780667,77692500,6350,-408,-0.15,-167,454,1.06
2019/8/30,15.276667,15.496,14.947333,15.040667,15.040667,139809000,6350,-408,-0.15,-167,454,1.06
2019/9/3,14.938667,15.263333,14.877333,15.000667,15.000667,80311500,6350,-408,-0.15,-167,454,1.06
2019/9/4,15.126,15.230667,14.614,14.712,14.712,86415000,6350,-408,-0.15,-167,454,1.06
2019/9/5,14.833333,15.32,14.723333,15.305333,15.305333,110929500,6350,-408,-0.15,-167,454,1.06
2019/9/6,15.146667,15.309333,15.011333,15.163333,15.163333,62841000,6350,-408,-0.15,-167,454,1.06
2019/9/9,15.333333,15.584,15.282,15.452667,15.452667,72040500,6350,-408,-0.15,-167,454,1.06
2019/9/10,15.386667,15.702667,15.262667,15.702667,15.702667,73255500,6350,-408,-0.15,-167,454,1.06
2019/9/11,15.825333,16.544666,15.733333,16.473333,16.473333,150642000,6350,-408,-0.15,-167,454,1.06
2019/9/12,16.513332,16.9,16.293333,16.391333,16.391333,128718000,6350,-408,-0.15,-167,454,1.06
2019/9/13,16.464001,16.563334,16.324667,16.346666,16.346666,79696500,6350,-408,-0.15,-167,454,1.06
2019/9/16,16.4,16.495333,16.077999,16.187332,16.187332,70921500,6350,-408,-0.15,-167,454,1.06
2019/9/17,16.164667,16.373333,16.024668,16.319332,16.319332,57981000,6350,-408,-0.15,-167,454,1.06
2019/9/18,16.333332,16.544666,16.158001,16.232668,16.232668,62553000,6350,-408,-0.15,-167,454,1.06
2019/9/19,16.4,16.529333,16.322666,16.440001,16.440001,71937000,6350,-408,-0.15,-167,454,1.06
2019/9/20,16.432667,16.463333,15.877333,16.041332,16.041332,95295000,6350,-408,-0.15,-167,454,1.06
2019/9/23,16,16.345333,15.948,16.082001,16.082001,65103000,6350,-408,-0.15,-167,454,1.06
2019/9/24,16.101334,16.132668,14.840667,14.880667,14.880667,193372500,6350,-408,-0.15,-167,454,1.06
2019/9/25,14.970667,15.265333,14.557333,15.246667,15.246667,141406500,6350,-408,-0.15,-167,454,1.06
2019/9/26,15.377333,16.220667,15.16,16.170668,16.170668,178267500,6350,-408,-0.15,-167,454,1.06
2019/9/27,16.146667,16.580667,15.915333,16.142,16.142,166746000,6350,-408,-0.15,-167,454,1.06
2019/9/30,16.200001,16.265333,15.740667,16.058001,16.058001,88197000,6303,143,0.05,261,847,1.08
2019/10/1,16.1,16.396667,15.942,16.312668,16.312668,92439000,6303,143,0.05,261,847,1.08
2019/10/2,16.219334,16.309999,15.962,16.208668,16.208668,84471000,6303,143,0.05,261,847,1.08
2019/10/3,15.457333,15.632,14.952,15.535333,15.535333,226267500,6303,143,0.05,261,847,1.08
2019/10/4,15.440667,15.652,15.204667,15.428667,15.428667,119925000,6303,143,0.05,261,847,1.08
2019/10/7,15.32,15.904,15.236667,15.848,15.848,120963000,6303,143,0.05,261,847,1.08
2019/10/8,15.724667,16.262667,15.633333,16.003332,16.003332,130173000,6303,143,0.05,261,847,1.08
2019/10/9,16.087999,16.486668,16.043333,16.302,16.302,103416000,6303,143,0.05,261,847,1.08
2019/10/10,16.351999,16.618668,16.105333,16.316,16.316,94249500,6303,143,0.05,261,847,1.08
2019/10/11,16.476667,16.738667,16.454,16.525999,16.525999,127131000,6303,143,0.05,261,847,1.08
2019/10/14,16.526667,17.236668,16.475332,17.130667,17.130667,153075000,6303,143,0.05,261,847,1.08
2019/10/15,17.18,17.333332,16.941334,17.192667,17.192667,96492000,6303,143,0.05,261,847,1.08
2019/10/16,17.159332,17.473333,17.128,17.316668,17.316668,100261500,6303,143,0.05,261,847,1.08
2019/10/17,17.5,17.652,17.344667,17.464666,17.464666,71539500,6303,143,0.05,261,847,1.08
2019/10/18,17.379999,17.52,17.006666,17.129999,17.129999,86247000,6303,143,0.05,261,847,1.08
2019/10/21,17.222,17.299999,16.678667,16.9,16.9,75304500,6303,143,0.05,261,847,1.08
2019/10/22,16.954666,17.222,16.723333,17.038668,17.038668,69012000,6303,143,0.05,261,847,1.08
2019/10/23,16.966667,17.076,16.756666,16.978666,16.978666,78916500,6303,143,0.05,261,847,1.08
2019/10/24,19.891333,20.328667,19.280001,19.978666,19.978666,445813500,6303,143,0.05,261,847,1.08
2019/10/25,19.848,22,19.740667,21.875334,21.875334,450091500,6303,143,0.05,261,847,1.08
2019/10/28,21.836,22.722668,21.506666,21.847334,21.847334,283054500,6303,143,0.05,261,847,1.08
2019/10/29,21.332666,21.620001,20.983334,21.081333,21.081333,190264500,6303,143,0.05,261,847,1.08
2019/10/30,20.866667,21.252666,20.664667,21.000668,21.000668,144627000,6303,143,0.05,261,847,1.08
